French,English
阿姨,āyí | aunt
啊,a | ah
矮,ǎi | short
爱好,àihào | hobby
安静,ānjìng | quiet
把,bǎ | hold
班,bān | class
搬,bān | turn; pull
半,bàn | half
办法,bànfǎ | way
办公室,bàngōngshì | office
帮忙,bāngmáng | help
包,bāo | package
饱,bǎo | full
北方,běifāng | north
被,bèi | cover
鼻子,bízi | nose
比,bǐ | than
比较,bǐjiào | compare
比赛,bǐsài | competition
必须,bìxū | must
变化,biànhuà | change
表示,biǎoshì | express
表演,biǎoyǎn | perform
别人,biéren | other people
宾馆,bīnguǎn | hotel
冰箱,bīngxiāng | refrigerator
才,cái | just
菜单,càidān | menu
参加,cānjiā | participate in
草,cǎo | grass
层,céng | layer
差,chà | difference
超市,chāoshì | supermarket
衬衫,chènshān | shirt
成绩,chéngjì | achievement
城市,chéngshì | city
迟到,chídào | late
出现,chūxiàn | appear
厨房,chúfáng | kitchen
除了,chúle | except
春,chūn | spring
词语,cíyǔ | terms
聪明,cōngming | clever
打扫,dǎsǎo | clean
打算,dǎsuàn | plan
带,dài | belt
担心,dānxīn | worry
蛋糕,dàngāo | cake
当然,dāngrán | of course
地,de |
灯,dēng | lamp
低,dī | low
地方,dìfang | local
地铁,dìtiě | metro
地图,dìtú | map
电梯,diàntī | elevator
电子邮件,diànzǐyóujiàn | email
东,dōng | east
冬,dōng | winter
动物,dòngwù | animal
短,duǎn | short
段,duàn | paragraph
锻炼,duànliàn | physical exercise
多么,duōme | what
饿,è | hungry
而且,érqiě | and
耳朵,ěrduo | ears
发烧,fāshāo | have a fever
发现,fāxiàn | find
方便,fāngbiàn | convenient
放,fàng | discharge
放心,fàngxīn | don’t worry
分,fēn | branch
附近,fùjìn | nearby
复习,fùxí | review
干净,gānjìng | clean
敢,gǎn | dare
感冒,gǎnmào | get a cold
刚才,gāngcái | just
跟,gēn | with
根据,gēnjù | according to
更,gèng | more
公司,gōngsī | company
公园,gōngyuán | park
故事,gùshi | story
刮风,guāfēng | windy
关,guān | shut
关系,guānxì | relationship
关心,guānxīn | care for
关于,guānyú | about
国家,guójiā | country
果汁,guǒzhī | fruit juice
过去,guòqù | past times
还是,háishì | still
害怕,hàipà | Fear
河,hé | river
黑板,hēibǎn | blackboard
护照,hùzhào | passport
花 （动）,huā | flower (move)
花园,huāyuán | garden
画,huà | painting
